DISTRICT,Murder,Sex Crime,Missing,Robbery,Theft,Public Nuisance,Fraud,Arson,Gun Violence,Assault,Harrassment,Human Trafficking,Accident,Others,total
ARARIA,268,1226,1802,1570,4768,3304,945,291,1843,151,487,3,484,13854,28415
ARWAL,193,62,296,345,1296,509,188,87,1257,64,99,0,303,3050,7673
AURANGABAD,396,460,1022,1865,5968,3093,986,181,7309,119,623,0,1159,10687,31944
BAGAHA,148,450,1438,537,3100,1299,660,143,3376,148,169,0,292,6487,16720
BANKA,301,894,1028,1420,2742,2241,428,172,2493,52,255,0,373,8025,19347
BEGUSARAI,430,456,2218,1787,7422,2773,1296,183,5020,139,542,2,2199,15538,38025
BETTIAH,400,954,2470,1540,7670,4148,1764,210,14334,212,747,8,938,10813,42395
BHABHUA,308,286,976,1263,4478,1825,656,246,2591,74,246,2,642,7456,19288
BHAGALPUR,306,930,2244,2362,10512,2687,1429,241,4047,197,861,0,1080,16215,38436
BHOJPUR,502,402,1302,2061,7676,2316,1300,370,7519,208,1172,1,1485,16174,40506
BUXAR,331,300,1142,1567,5824,2269,962,252,3694,169,494,11,852,6237,22097
DARBHANGA,551,1166,2208,1479,6928,3654,2844,340,3814,547,1652,12,1270,21879,45383
GAYA,755,658,2126,3945,12394,4381,1423,436,6399,209,589,8,2279,16935,48235
GOPALGANJ,452,502,1858,1423,4426,2552,1335,138,3934,134,1192,0,1061,13769,31510
JAMALPUR RLY.,10,12,76,229,3168,59,41,1,56,14,2,0,5,684,2839
JAMUI,280,580,1038,1210,2864,1822,525,225,4765,189,452,0,469,4427,18674
JEHANABAD,283,202,818,978,3396,1410,464,80,1497,74,262,0,402,8719,17432
KATIHAR,253,2178,2286,1242,4758,2285,1228,180,5675,131,547,4,869,11382,29828
KATIHAR RLY.,11,34,152,322,5302,113,143,3,171,31,11,0,17,1472,5176
KHAGARIA,190,344,1100,637,2380,2154,307,123,3824,112,211,1,918,7398,19335
KISHANGANJ,116,870,1338,742,2954,1439,418,61,1705,80,434,0,291,5092,13459
LAKHISARAI,150,312,920,706,2222,1056,420,82,1958,123,224,0,543,4345,12557
MADHEPURA,168,348,1008,919,2794,1979,464,100,2027,52,188,4,415,8056,17472
MADHUBANI,525,876,2152,1815,6426,3898,590,163,9492,732,1116,1,1011,16253,42083
MOTIHARI,874,746,3424,2825,10406,5244,2072,341,11461,151,790,13,1110,24193,60939
MUNGER,142,310,1386,1136,4926,2159,806,113,2967,56,476,0,510,9335,22716
MUZAFFARPUR,1033,1576,4664,4177,21010,5098,2946,404,6568,220,1315,12,2883,28143,69252
MUZAFFARPUR RLY.,10,46,156,376,7616,125,207,1,392,31,7,0,54,1740,7113
NALANDA,944,628,2364,1969,7858,2304,1552,213,11071,397,944,9,1966,15615,45663
NAUGACHIA,159,178,662,447,1306,1318,540,50,1414,131,313,0,684,6212,13218
NAWADAH,311,526,1294,997,2950,2236,848,111,3673,107,360,10,1277,8720,22684
PATNA,1313,1144,7004,12892,47884,5948,5942,284,7533,287,2852,39,4618,70387,147542
PATNA RLY.,51,28,174,522,16654,151,264,0,13,131,15,0,13,2686,12653
PURNEA,270,1742,2148,2361,5016,2274,1353,372,3501,259,545,7,1240,12675,31399
ROHTAS,584,474,1790,2730,9860,2719,881,256,4367,298,585,23,3078,17101,41706
SAHARSA,180,394,1080,1058,2788,2618,1033,127,2596,334,253,7,468,7620,20316
SAMASTIPUR,760,764,2656,2029,7874,3483,1008,553,3533,125,637,211,1502,19269,42318
SARAN,920,638,2542,2617,9590,3579,1493,407,12828,208,1272,3,1579,12296,47474
SHEIKHPURA,104,114,484,355,1722,949,487,46,1070,32,209,1,236,5155,10367
SHEOHAR,71,180,444,310,892,675,202,40,1255,48,113,1,66,2055,5953
SITAMARHI,332,578,1848,1708,7016,2336,742,223,3834,156,544,28,649,19051,35390
SIWAN,637,374,2378,2278,5510,2555,999,257,4851,116,651,5,1135,10974,30855
SUPAUL,197,694,1108,1107,3350,2695,741,109,2428,214,319,9,338,8872,20702
VAISHALI,1001,612,3816,2465,11048,3364,2112,294,5111,314,1131,5,1679,21545,49204
TOTAL,17220,26248,74440,76323,306744,105096,47044,8509,189266,7576,25906,440,44442,538591,1346293
